NumberOfWafersPerBatch    Total time used
20                        5726.4         
21                        5891.6         
22                        5893.3         
23                        5881.4         
24                        5932.5         
25                        5701.3         
26                        5867.1         
27                        5838.3         
28                        5932.3         
29                        5884.1         
30                        5908.5         
31                        5971.4         
32                        5899.1         
33                        5884.1         
34                        5955.7         
35                        5716.3         
36                        5674.7         
37                        5900.4         
38                        5760.1         
39                        5685.4         
40                        5790.4         
41                        5744.3         
42                        5688.3         
43                        5680.2         
44                        5693.9         
45                        5685.4         
46                        5699.3         
47                        5765.1         
48                        5704.3         
49                        5777.5         
50                        5733.3         
