Task started: Unit1 | Task1 | Batch1 | 0.1
Task finished: Unit1 | Task1 | Batch1 | 27.1
Task started: Unit1 | Task1 | Batch2 | 27.1
Task started: Unit2 | Task2 | Batch1 | 27.1
Task finished: Unit1 | Task1 | Batch2 | 54.1
Task started: Unit1 | Task1 | Batch3 | 54.1
Task finished: Unit1 | Task1 | Batch3 | 81.1
Task finished: Unit2 | Task2 | Batch1 | 204.1
Task started: Unit2 | Task2 | Batch2 | 204.1
Task started: Unit1 | Task3 | Batch1 | 204.2
Task finished: Unit1 | Task3 | Batch1 | 266.2
Task started: Unit1 | Task1 | Batch4 | 266.2
Task started: Unit3 | Task4 | Batch1 | 266.2
Task finished: Unit1 | Task1 | Batch4 | 293.2
Task finished: Unit2 | Task2 | Batch2 | 381.1
Task started: Unit2 | Task2 | Batch3 | 381.1
Task started: Unit1 | Task3 | Batch2 | 381.2
Task finished: Unit3 | Task4 | Batch1 | 418.2
Task finished: Unit1 | Task3 | Batch2 | 443.2
Task started: Unit1 | Task1 | Batch5 | 443.2
Task started: Unit3 | Task4 | Batch2 | 443.2
Task finished: Unit1 | Task1 | Batch5 | 470.2
Task finished: Unit2 | Task2 | Batch3 | 558.1
Task started: Unit2 | Task5 | Batch1 | 558.1
Task started: Unit1 | Task3 | Batch3 | 558.2
Task finished: Unit3 | Task4 | Batch2 | 595.2
Task finished: Unit2 | Task5 | Batch1 | 600.1
Task started: Unit2 | Task5 | Batch2 | 600.1
Task finished: Unit1 | Task3 | Batch3 | 620.2
Task started: Unit1 | Task6 | Batch1 | 620.2
Task started: Unit3 | Task4 | Batch3 | 620.2
Task finished: Unit2 | Task5 | Batch2 | 642.1
Task started: Unit2 | Task2 | Batch4 | 642.1
Task finished: Unit1 | Task6 | Batch1 | 647.2
Task started: Unit1 | Task1 | Batch6 | 647.2
Task finished: Unit1 | Task1 | Batch6 | 674.2
Task started: Unit1 | Task6 | Batch2 | 674.2
Task finished: Unit1 | Task6 | Batch2 | 701.2
Task finished: Unit3 | Task4 | Batch3 | 772.2
Task finished: Unit2 | Task2 | Batch4 | 819.1
Task started: Unit2 | Task7 | Batch1 | 819.1
Task started: Unit1 | Task3 | Batch4 | 819.2
Task finished: Unit2 | Task7 | Batch1 | 871.1
Task started: Unit2 | Task7 | Batch2 | 871.1
Task started: Unit3 | Task8 | Batch1 | 871.1
Task finished: Unit1 | Task3 | Batch4 | 881.2
Task finished: Unit2 | Task7 | Batch2 | 923.1
Task started: Unit2 | Task5 | Batch3 | 923.1
Task finished: Unit2 | Task5 | Batch3 | 965.1
Task started: Unit2 | Task2 | Batch5 | 965.1
Task started: Unit1 | Task1 | Batch7 | 965.2
Task finished: Unit3 | Task8 | Batch1 | 968.1
Task started: Unit3 | Task4 | Batch4 | 968.1
Task finished: Unit1 | Task1 | Batch7 | 992.2
Task started: Unit1 | Task6 | Batch3 | 992.2
Task finished: Unit1 | Task6 | Batch3 | 1019.2
Task started: Unit1 | Task9 | Batch1 | 1019.2
Task finished: Unit1 | Task9 | Batch1 | 1036.2
Batch1 done
Task finished: Unit3 | Task4 | Batch4 | 1120.1
Task started: Unit3 | Task8 | Batch2 | 1120.1
Task finished: Unit2 | Task2 | Batch5 | 1142.1
Task started: Unit2 | Task7 | Batch3 | 1142.1
Task started: Unit1 | Task3 | Batch5 | 1142.2
